symbol,name,sector
AEM,Agnico Eagle Mines Limited,Materials
AG,First Majestic Silver Corp.,Materials
AGI,Alamos Gold Inc.,Materials
BAM,BROOKFIELD ASSET MANAGEMENT INC,Financials
BCE,BCE Inc.,Communication Services
BMO,Bank of Montreal,Financials
BN,Brookfield Corporation Class A Limited Voting Shares,Consumer Staples
BNS,Bank of Nova Scotia,Financials
CCJ,Cameco Corporation,Materials
CLS,Celestica Inc.,Information Technology
CM,Canadian Imperial Bank of Commerce,Financials
CNI,Canadian National Railway Company,Industrials
CNQ,Canadian Natural Resources Limited,Energy
CP,Canadian Pacific Railway Limited,Industrials
CVE,Cenovus Energy Inc,Energy
EMA,Emera Incorporated Common Shares,Utilities
ENB,Enbridge Inc.,Energy
FNV,Franco-Nevada Corporation,Materials
GFL,GFL Environmental Inc.,Industrials
GIB,CGI Inc.,Information Technology
GIL,"Gildan Activewear, Inc.",Consumer Discretionary
HBM,Hudbay Minerals Inc.,Materials
IAG,Iamgold Corporation,Materials
KGC,Kinross Gold Corporation,Materials
MFC,Manulife Financial Corporation,Financials
MGA,"Magna International, Inc.",Consumer Discretionary
NTR,Nutrien Ltd.,Materials
PAAS,PAN AMERICAN SILVER CORP,Materials
PBA,Pembina Pipeline Corporation,Energy
QSR,Restaurant Brands International Inc.,Consumer Discretionary
RCI,Rogers Communications Inc.,Communication Services
RY,Royal Bank of Canada,Financials
SHOP,Shopify Inc.,Information Technology
SLF,Sun Life Financial Inc.,Financials
STN,Stantec Inc.,Industrials
SU,Suncor Energy Inc.,Energy
TD,The Toronto-Dominion Bank,Financials
TECK,Teck Resources Ltd,Materials
TRI,Thomson Reuters Corporation,Industrials
TRP,TC Energy Corporation,Energy
TU,TELUS Corporation,Communication Services
VIK,Viking Holdings Ltd Ordinary Shares,Consumer Discretionary
WCN,"Waste Connections, Inc.",Industrials
WPM,Wheaton Precious Metals Corp,Materials
